Firm,year,city,Age,Roa,Lev,Cash,Growth,Mshrrat,Shrholder1,Share_indep,Capital,Labor,Bigdata,Post,Gdpt,Popt,Secondt,Waget,Edut,Firm_numt,Thirdt,Indus,Policy_year
257,2011,海口市,2.8903718,.018503491,.496975,.031568181,1.455173,.02,10.31,.42860001,20.566633,7.884953,0,0,31.198288,10.141579,48.02,20.879494,12.947081,10.451493,139.16,A03,0
989,2017,南宁市,2.8332133,.034929443,.35731399,.089321606,.13616601,43.780201,35.689999,.57139999,20.417185,8.3170338,0,0,133.64822,52.438301,289.67999,84.158005,31.262621,56.957085,401.67999,A04,0
1322,2013,合肥市,2.3978953,.024749938,.278869,.010271115,2.651793,38.6861,11.39,.44439998,18.629642,5.9864521,0,0,68.447777,24.803659,215.67999,42.314987,30.110191,30.837233,164.67999,A01,0
409,2014,长沙市,2.7080503,.079370908,.507815,.067254394,7.1731029,6.2017999,14.4,.33330002,20.27829,7.1899223,0,0,88.16288,32.400223,268,52.770943,38.952633,39.345097,209.79999,A01,0
288,2013,北京市,2.7080503,.055956457,.102502,.09966407,.197881,.00060000003,25.360001,.33330002,19.369305,6.8351846,1,0,75.060936,28.529352,96.040001,44.370331,18.37583,35.3484,300.44,A04,2016
162,2015,福州市,3.0910425,.011003618,.098013997,-.056747526,.22982401,.028200001,31.48,.40000001,19.269083,7.1716566,0,0,103.54213,38.786598,269.28,62.74501,26.166279,47.787018,276.36002,A02,0
162,2010,福州市,2.8332133,.047164571,.35513499,-.049847998,.39972499,.0063999998,48.68,.40000001,19.409019,7.057898,0,0,17.257021,6.4644327,44.880001,10.457501,4.3610463,7.9645033,46.060001,A02,0
257,2021,海口市,3.3322046,-.039852221,.61337698,.10849587,.279149,.0726,17.139999,.42860001,22.028374,8.0060339,0,0,187.18973,60.849472,288.12,125.27696,77.68248,62.708961,834.96002,A03,0
288,2011,北京市,2.5649493,.065794148,.21272799,.03548336,.59109497,.001,25.360001,.33330002,19.22578,5.6167712,1,0,37.530468,14.264676,48.02,22.185165,9.1879148,17.6742,150.22,A04,2016
606,2016,烟台市,2.9444389,.07058832,.52702999,.1301938,-.104503,42.330101,37.849998,.33330002,20.692131,7.0808678,0,0,123.1315,45.356014,412.22998,73.078621,15.737906,57.016819,234.07999,A03,0
606,2010,烟台市,2.5649493,.044572871,.42899299,.10442124,-.017708,53.918701,53.169998,.33330002,20.056017,7.3388882,0,0,17.590214,6.4794307,58.889999,10.439803,2.2482722,8.1452599,33.439999,A03,0
1413,2020,海口市,2.9957323,-.11053543,.087424003,.063710406,1.382117,17.9361,17.940001,.33330002,19.295736,5.209486,0,0,171.59058,55.778683,264.11002,114.83722,71.208946,57.483212,765.38,A01,0
2127,2020,上海市,3.1354942,.051902514,.31993499,.11590554,-.084518,0,42.259998,.44439998,20.691977,7.0570369,1,1,208.57127,79.737457,462.54999,123.00957,40.162792,106.94426,630.07996,A04,2016
1372,2014,东莞市,2.7725887,-.24543706,.57218099,.026428116,.088699996,37.421501,36.540001,.57139999,19.919191,7.2626286,1,0,87.8209,25.970337,254.45,53.744579,10.533366,43.412689,243.60001,A01,2016
1042,2021,天水市,2.7725887,.0082908263,.50374299,-.06314493,.40115899,2.2646,27.030001,.33330002,21.654364,8.628377,0,0,178.97861,70.739441,452.76001,120.99374,9.5831814,61.629581,506.76001,A01,0
240,2018,合肥市,3.4657359,.023488102,.33525801,-.027416753,1.653984,0,34.110001,.5,19.997246,7.009409,0,0,154.00749,55.808235,485.27997,95.208725,67.747932,69.383774,370.52997,A05,0
240,2021,合肥市,3.4657359,.068640202,.28433299,.028475242,.52008098,0,29.24,.44439998,20.169945,7.0859013,0,0,205.34332,74.41098,647.03998,126.94496,90.330574,92.511696,494.03998,A05,0
240,2016,合肥市,3.4657359,.010719465,.32939899,-.12928204,2.906502,0,34.110001,.57139999,19.651146,7.0950642,0,0,119.78361,43.406403,377.44,74.051224,52.692833,53.965157,288.19,A05,0
409,2016,长沙市,2.8332133,.063172646,.27290899,.03952409,5.5979381,5.3274999,11.49,.33330002,20.591219,7.5553818,0,0,123.42803,45.36031,375.19998,73.879318,54.533688,55.083138,293.72,A01,0
240,2015,合肥市,3.4339871,.016337421,.268832,.060508229,4.2769442,.00079999998,34.110001,.57139999,19.680325,7.1252832,0,0,102.67166,37.20549,323.51999,63.472481,45.165287,46.255848,247.01999,A05,0
2333,2017,哈尔滨市,3.0910425,.081464306,.332032,.049109291,1.306746,.088799998,48.759998,.40000001,18.624763,5.46806,0,0,139.33507,55.196171,302.23999,83.09005,38.83704,58.140202,407.67999,A01,0
240,2014,合肥市,3.4011974,.032300685,.29239699,.13149869,7.1731029,.0011,34.110001,.40000001,19.695761,7.166266,0,0,85.559723,31.004574,269.59998,52.893734,37.637741,38.546539,205.84999,A05,0
